dataset,seed,label,utility,mia_auc
adult_income,0,Selected (privacy-in-loop),66.23225252920962,0.5181888888888889
adult_income,0,Utility-only pick,77.8229314655125,0.5262
adult_income,0,Privacy-only pick,61.54421416588134,0.4471444444444444
adult_income,1,Selected (privacy-in-loop),30.584648480376497,0.4988111111111111
adult_income,1,Utility-only pick,71.32318660220335,0.4636888888888889
adult_income,1,Privacy-only pick,47.62347907852913,0.4619
adult_income,2,Selected (privacy-in-loop),62.58415184225472,0.5363888888888889
adult_income,2,Utility-only pick,70.41111882027731,0.5319999999999999
adult_income,2,Privacy-only pick,47.322205387920505,0.4698555555555556
adult_income,3,Selected (privacy-in-loop),76.9755787250088,0.4925333333333334
adult_income,3,Utility-only pick,76.9755787250088,0.4925333333333334
adult_income,3,Privacy-only pick,65.60487324190368,0.4811111111111111
adult_income,4,Selected (privacy-in-loop),64.67445030236189,0.5102666666666666
adult_income,4,Utility-only pick,73.83126156047159,0.5382111111111111
adult_income,4,Privacy-only pick,44.82759524884611,0.5001333333333333
adult_income,1000,Selected (privacy-in-loop),51.09624867777312,0.5175888888888889
adult_income,1000,Utility-only pick,71.65449719716744,0.5306333333333334
adult_income,1000,Privacy-only pick,64.69704025705612,0.4778555555555555
adult_income,1001,Selected (privacy-in-loop),67.95593293759613,0.5353222222222223
adult_income,1001,Utility-only pick,72.5822717496818,0.5180777777777779
adult_income,1001,Privacy-only pick,25.50915896143372,0.4686555555555556
adult_income,1002,Selected (privacy-in-loop),68.82662294992556,0.4726111111111111
adult_income,1002,Utility-only pick,79.24195558995837,0.5176777777777778
adult_income,1002,Privacy-only pick,27.18821011516026,0.4616888888888889
adult_income,1003,Selected (privacy-in-loop),63.187551427218395,0.5430333333333334
adult_income,1003,Utility-only pick,74.81570110671112,0.5233666666666666
adult_income,1003,Privacy-only pick,54.92922513439908,0.4688111111111111
adult_income,1004,Selected (privacy-in-loop),65.73919366317027,0.5803222222222223
adult_income,1004,Utility-only pick,69.29724919119309,0.5075333333333334
adult_income,1004,Privacy-only pick,65.92986441831718,0.4569777777777778
adult_income,2000,Selected (privacy-in-loop),68.83281126020744,0.5127999999999999
adult_income,2000,Utility-only pick,73.16837815400608,0.5399555555555555
adult_income,2000,Privacy-only pick,35.6271642697453,0.4699
adult_income,2001,Selected (privacy-in-loop),74.86835418741455,0.474211111111111
adult_income,2001,Utility-only pick,76.09424272126223,0.4908666666666667
adult_income,2001,Privacy-only pick,67.73040049380619,0.4581555555555556
adult_income,2002,Selected (privacy-in-loop),55.348679818399305,0.4900111111111111
adult_income,2002,Utility-only pick,74.03290607770734,0.5307555555555556
adult_income,2002,Privacy-only pick,48.180007457438315,0.4658
adult_income,2003,Selected (privacy-in-loop),63.596111014090994,0.4995888888888888
adult_income,2003,Utility-only pick,72.6523097868127,0.5098444444444444
adult_income,2003,Privacy-only pick,47.966681193462826,0.4932222222222223
adult_income,2004,Selected (privacy-in-loop),71.11734662036972,0.4712111111111111
adult_income,2004,Utility-only pick,71.11734662036972,0.4712111111111111
adult_income,2004,Privacy-only pick,71.11734662036972,0.4712111111111111
adult_income,3000,Selected (privacy-in-loop),59.45702297174198,0.4652666666666667
adult_income,3000,Utility-only pick,74.25914650614818,0.4894444444444444
adult_income,3000,Privacy-only pick,59.45702297174198,0.4652666666666667
adult_income,3001,Selected (privacy-in-loop),75.77641005631885,0.5113444444444445
adult_income,3001,Utility-only pick,76.75945985491035,0.4939111111111111
adult_income,3001,Privacy-only pick,29.665251746231032,0.4516333333333333
adult_income,3002,Selected (privacy-in-loop),76.15358232366857,0.4850888888888889
adult_income,3002,Utility-only pick,76.15358232366857,0.4850888888888889
adult_income,3002,Privacy-only pick,63.791934324197186,0.4663333333333332
adult_income,3003,Selected (privacy-in-loop),71.53332693524983,0.5445888888888889
adult_income,3003,Utility-only pick,74.96243748102208,0.5091111111111111
adult_income,3003,Privacy-only pick,49.881189686918695,0.4705666666666666
adult_income,3004,Selected (privacy-in-loop),70.372599210938,0.5138666666666667
adult_income,3004,Utility-only pick,73.42204643225556,0.4878555555555555
adult_income,3004,Privacy-only pick,63.388986171224246,0.4844888888888888
adult_income,4000,Selected (privacy-in-loop),71.54858793772462,0.5175333333333333
adult_income,4000,Utility-only pick,75.79612873992892,0.4950666666666666
adult_income,4000,Privacy-only pick,68.54028249112004,0.4841333333333333
adult_income,4001,Selected (privacy-in-loop),67.47311362734101,0.4977444444444444
adult_income,4001,Utility-only pick,71.61477139175622,0.4911999999999999
adult_income,4001,Privacy-only pick,57.48195556898105,0.4238111111111111
adult_income,4002,Selected (privacy-in-loop),61.27110253138601,0.5005999999999999
adult_income,4002,Utility-only pick,73.83225798331358,0.5146555555555555
adult_income,4002,Privacy-only pick,46.00872341976514,0.4753666666666667
adult_income,4003,Selected (privacy-in-loop),69.64004487049388,0.5154888888888889
adult_income,4003,Utility-only pick,71.67959131979352,0.4640333333333333
adult_income,4003,Privacy-only pick,71.67959131979352,0.4640333333333333
adult_income,4004,Selected (privacy-in-loop),65.34423000376019,0.5069444444444444
adult_income,4004,Utility-only pick,73.11866189852114,0.5139
adult_income,4004,Privacy-only pick,68.45957224091825,0.4869333333333333
breast_cancer,0,Selected (privacy-in-loop),96.42857142857142,0.4785964912280702
breast_cancer,0,Utility-only pick,97.22222222222224,0.5105847953216375
breast_cancer,0,Privacy-only pick,23.148148148148152,0.4163742690058479
breast_cancer,1,Selected (privacy-in-loop),51.32275132275132,0.502046783625731
breast_cancer,1,Utility-only pick,85.84656084656083,0.4275438596491228
breast_cancer,1,Privacy-only pick,85.84656084656083,0.4275438596491228
breast_cancer,2,Selected (privacy-in-loop),81.74603174603175,0.4659649122807017
breast_cancer,2,Utility-only pick,91.7989417989418,0.4866666666666667
breast_cancer,2,Privacy-only pick,75.79365079365078,0.3884210526315789
breast_cancer,3,Selected (privacy-in-loop),93.12169312169311,0.4422222222222222
breast_cancer,3,Utility-only pick,93.12169312169311,0.5145029239766081
breast_cancer,3,Privacy-only pick,92.85714285714286,0.4242105263157895
breast_cancer,4,Selected (privacy-in-loop),86.37566137566138,0.5240350877192983
breast_cancer,4,Utility-only pick,94.97354497354497,0.4263742690058479
breast_cancer,4,Privacy-only pick,94.97354497354497,0.4263742690058479
breast_cancer,1000,Selected (privacy-in-loop),85.58201058201058,0.5036842105263157
breast_cancer,1000,Utility-only pick,95.1058201058201,0.5301754385964912
breast_cancer,1000,Privacy-only pick,21.69312169312169,0.4447953216374269
breast_cancer,1001,Selected (privacy-in-loop),70.63492063492063,0.4959649122807018
breast_cancer,1001,Utility-only pick,92.1957671957672,0.4798245614035088
breast_cancer,1001,Privacy-only pick,15.211640211640209,0.381812865497076
breast_cancer,1002,Selected (privacy-in-loop),83.46560846560847,0.483391812865497
breast_cancer,1002,Utility-only pick,94.97354497354497,0.5007602339181286
breast_cancer,1002,Privacy-only pick,22.08994708994709,0.4446198830409357
breast_cancer,1003,Selected (privacy-in-loop),93.91534391534393,0.4957309941520467
breast_cancer,1003,Utility-only pick,94.04761904761904,0.4487719298245614
breast_cancer,1003,Privacy-only pick,24.603174603174597,0.4275438596491228
breast_cancer,1004,Selected (privacy-in-loop),96.2962962962963,0.5342105263157895
breast_cancer,1004,Utility-only pick,96.2962962962963,0.5342105263157895
breast_cancer,1004,Privacy-only pick,44.57671957671958,0.4219883040935673
breast_cancer,2000,Selected (privacy-in-loop),27.77777777777778,0.507953216374269
breast_cancer,2000,Utility-only pick,94.31216931216933,0.5068421052631579
breast_cancer,2000,Privacy-only pick,87.3015873015873,0.4062573099415205
breast_cancer,2001,Selected (privacy-in-loop),51.71957671957672,0.5051461988304093
breast_cancer,2001,Utility-only pick,85.97883597883597,0.4736842105263159
breast_cancer,2001,Privacy-only pick,84.78835978835978,0.4270760233918129
breast_cancer,2002,Selected (privacy-in-loop),73.67724867724868,0.4662573099415205
breast_cancer,2002,Utility-only pick,88.88888888888889,0.5377777777777778
breast_cancer,2002,Privacy-only pick,62.037037037037045,0.4084210526315789
breast_cancer,2003,Selected (privacy-in-loop),42.59259259259259,0.4829824561403509
breast_cancer,2003,Utility-only pick,82.14285714285715,0.5311695906432748
breast_cancer,2003,Privacy-only pick,71.82539682539681,0.4558479532163743
breast_cancer,2004,Selected (privacy-in-loop),47.22222222222223,0.4833333333333333
breast_cancer,2004,Utility-only pick,97.48677248677248,0.5597076023391813
breast_cancer,2004,Privacy-only pick,28.439153439153444,0.4107017543859649
breast_cancer,3000,Selected (privacy-in-loop),80.42328042328043,0.5383040935672514
breast_cancer,3000,Utility-only pick,80.42328042328043,0.5383040935672514
breast_cancer,3000,Privacy-only pick,49.338624338624335,0.4292982456140351
breast_cancer,3001,Selected (privacy-in-loop),87.16931216931216,0.442046783625731
breast_cancer,3001,Utility-only pick,87.96296296296295,0.4238011695906433
breast_cancer,3001,Privacy-only pick,70.63492063492063,0.3982456140350877
breast_cancer,3002,Selected (privacy-in-loop),91.005291005291,0.5714035087719297
breast_cancer,3002,Utility-only pick,91.26984126984128,0.5129239766081871
breast_cancer,3002,Privacy-only pick,46.56084656084656,0.4528654970760233
breast_cancer,3003,Selected (privacy-in-loop),80.95238095238095,0.5113450292397661
breast_cancer,3003,Utility-only pick,91.005291005291,0.4047953216374269
breast_cancer,3003,Privacy-only pick,91.005291005291,0.4047953216374269
breast_cancer,3004,Selected (privacy-in-loop),59.12698412698413,0.5176023391812865
breast_cancer,3004,Utility-only pick,89.94708994708995,0.5057309941520468
breast_cancer,3004,Privacy-only pick,80.82010582010582,0.4386549707602339
breast_cancer,4000,Selected (privacy-in-loop),94.04761904761905,0.4626315789473684
breast_cancer,4000,Utility-only pick,94.04761904761905,0.4626315789473684
breast_cancer,4000,Privacy-only pick,82.01058201058201,0.4308187134502924
breast_cancer,4001,Selected (privacy-in-loop),91.13756613756614,0.4980116959064327
breast_cancer,4001,Utility-only pick,91.13756613756614,0.4980116959064327
breast_cancer,4001,Privacy-only pick,81.21693121693121,0.4423976608187134
breast_cancer,4002,Selected (privacy-in-loop),95.5026455026455,0.4487134502923977
breast_cancer,4002,Utility-only pick,95.5026455026455,0.4487134502923977
breast_cancer,4002,Privacy-only pick,80.82010582010581,0.3973099415204678
breast_cancer,4003,Selected (privacy-in-loop),93.12169312169311,0.5614035087719298
breast_cancer,4003,Utility-only pick,96.03174603174602,0.4121637426900585
breast_cancer,4003,Privacy-only pick,89.02116402116403,0.402280701754386
breast_cancer,4004,Selected (privacy-in-loop),87.16931216931216,0.5139181286549708
breast_cancer,4004,Utility-only pick,87.16931216931216,0.5139181286549708
breast_cancer,4004,Privacy-only pick,42.32804232804232,0.4492982456140351
credit,0,Selected (privacy-in-loop),57.76190476190476,0.5556
credit,0,Utility-only pick,69.33333333333333,0.5511666666666667
credit,0,Privacy-only pick,61.47619047619048,0.5355
credit,1,Selected (privacy-in-loop),67.80952380952381,0.5450999999999999
credit,1,Utility-only pick,67.80952380952381,0.5450999999999999
credit,1,Privacy-only pick,54.04761904761906,0.4561
credit,2,Selected (privacy-in-loop),67.0952380952381,0.5516
credit,2,Utility-only pick,67.0952380952381,0.5516
credit,2,Privacy-only pick,67.0,0.5250666666666667
credit,3,Selected (privacy-in-loop),52.23809523809524,0.5498666666666667
credit,3,Utility-only pick,68.04761904761905,0.5585333333333333
credit,3,Privacy-only pick,62.76190476190475,0.5302666666666667
credit,4,Selected (privacy-in-loop),60.857142857142854,0.5429333333333334
credit,4,Utility-only pick,66.95238095238095,0.5435333333333333
credit,4,Privacy-only pick,63.04761904761905,0.5036333333333334
credit,1000,Selected (privacy-in-loop),55.285714285714285,0.5656333333333334
credit,1000,Utility-only pick,66.57142857142858,0.5622
credit,1000,Privacy-only pick,40.38095238095238,0.5539333333333334
credit,1001,Selected (privacy-in-loop),63.04761904761905,0.5742333333333334
credit,1001,Utility-only pick,64.42857142857143,0.5669666666666666
credit,1001,Privacy-only pick,39.95238095238095,0.4833666666666666
credit,1003,Selected (privacy-in-loop),64.38095238095238,0.5307999999999999
credit,1003,Utility-only pick,71.61904761904762,0.5542
credit,1003,Privacy-only pick,67.66666666666666,0.5306666666666666
credit,2000,Selected (privacy-in-loop),62.238095238095234,0.5674
credit,2000,Utility-only pick,66.90476190476191,0.5398666666666667
credit,2000,Privacy-only pick,43.71428571428571,0.4777333333333333
heart,0,Selected (privacy-in-loop),63.888888888888886,0.4654125024495394
heart,0,Utility-only pick,85.55555555555556,0.4869684499314129
heart,0,Privacy-only pick,58.333333333333336,0.39564961787184
heart,1,Selected (privacy-in-loop),71.11111111111111,0.4932392710170488
heart,1,Utility-only pick,84.44444444444444,0.4959827552420145
heart,1,Privacy-only pick,35.55555555555555,0.3760533019792279
heart,2,Selected (privacy-in-loop),85.0,0.4636488340192044
heart,2,Utility-only pick,88.33333333333334,0.532235939643347
heart,2,Privacy-only pick,69.44444444444444,0.4379776601998824
heart,3,Selected (privacy-in-loop),12.22222222222222,0.4844209288653733
heart,3,Utility-only pick,73.88888888888889,0.5079365079365079
heart,3,Privacy-only pick,38.33333333333333,0.3919263178522437
heart,4,Selected (privacy-in-loop),49.44444444444444,0.4752106603958456
heart,4,Utility-only pick,72.22222222222223,0.417989417989418
heart,4,Privacy-only pick,36.66666666666666,0.4060356652949245
heart,1004,Selected (privacy-in-loop),64.44444444444444,0.4044679600235156
heart,1004,Utility-only pick,66.66666666666667,0.4391534391534392
heart,1004,Privacy-only pick,61.111111111111114,0.3789927493631198
pima,0,Selected (privacy-in-loop),71.1111111111111,0.5471428571428572
pima,0,Utility-only pick,84.81481481481481,0.5341558441558442
pima,0,Privacy-only pick,60.22222222222222,0.4854112554112554
pima,1,Selected (privacy-in-loop),38.518518518518505,0.5082683982683982
pima,1,Utility-only pick,76.96296296296296,0.4918181818181818
pima,1,Privacy-only pick,76.96296296296296,0.4918181818181818
pima,2,Selected (privacy-in-loop),76.81481481481481,0.553982683982684
pima,2,Utility-only pick,83.18518518518519,0.503030303030303
pima,2,Privacy-only pick,43.55555555555555,0.4999134199134199
pima,3,Selected (privacy-in-loop),43.629629629629626,0.5270995670995671
pima,3,Utility-only pick,74.07407407407406,0.4818181818181818
pima,3,Privacy-only pick,74.07407407407406,0.4818181818181818
pima,4,Selected (privacy-in-loop),64.88888888888889,0.51
pima,4,Utility-only pick,78.51851851851852,0.5371861471861473
pima,4,Privacy-only pick,30.14814814814814,0.5013419913419914
pima,1000,Selected (privacy-in-loop),83.18518518518519,0.5288311688311689
pima,1000,Utility-only pick,83.77777777777777,0.5025974025974026
pima,1000,Privacy-only pick,83.77777777777777,0.5025974025974026
