dataset,method,seed,dcr_q,norm_dcr,mia_auc,status,notes
adult_income,TabSyn,0,0.19569566973779803,1.1890304611677294,0.5360888888888888,OK,"Samples: real(500), syn(800)"
adult_income,TabSyn,1,0.19067409781957081,0.7579654165814386,0.47909999999999997,OK,"Samples: real(500), syn(800)"
adult_income,TabSyn,2,0.1890314686180784,1.2492339373187153,0.4771222222222222,OK,"Samples: real(500), syn(800)"
adult_income,TabSyn,3,0.1774508049628178,0.8321559502016341,0.5,OK,"Samples: real(500), syn(800)"
adult_income,TabSyn,4,0.1771263313803667,1.0298124769750239,0.5631111111111111,OK,"Samples: real(500), syn(800)"
adult_income,STaSy,0,1.5144863805272966,9.201892110762445,0.5237777777777777,OK,"Samples: real(500), syn(800)"
adult_income,STaSy,1,1.93490857895848,7.691625678937562,0.5018666666666667,OK,"Samples: real(500), syn(800)"
adult_income,STaSy,2,1.6927415119539868,11.186656694254118,0.5074444444444444,OK,"Samples: real(500), syn(800)"
adult_income,STaSy,3,1.7184430254847671,8.058642444813286,0.48725555555555555,OK,"Samples: real(500), syn(800)"
adult_income,STaSy,4,1.6873877656451601,9.810472339230108,0.5273777777777777,OK,"Samples: real(500), syn(800)"
breast_cancer,TabSyn,0,1.224498213026874,0.99437711740682,0.5321637426900585,OK,"Samples: real(455), syn(455)"
breast_cancer,TabSyn,1,1.3225068885824212,1.1901439969326189,0.5340350877192983,OK,"Samples: real(455), syn(455)"
breast_cancer,TabSyn,2,1.2789810136145123,1.0475896820931514,0.48970760233918126,OK,"Samples: real(455), syn(455)"
breast_cancer,TabSyn,3,1.307053136098772,1.126225760243152,0.5104678362573098,OK,"Samples: real(455), syn(455)"
breast_cancer,TabSyn,4,1.467378334121339,1.264095274377843,0.4956140350877193,OK,"Samples: real(455), syn(455)"
breast_cancer,STaSy,0,17.555689211805742,14.256432101581412,0.5335087719298246,OK,"Samples: real(455), syn(455)"
breast_cancer,STaSy,1,16.825972879030243,15.141948058957789,0.4766666666666667,OK,"Samples: real(455), syn(455)"
breast_cancer,STaSy,2,16.9448589779387,13.879220442565813,0.5446783625730994,OK,"Samples: real(455), syn(455)"
breast_cancer,STaSy,3,16.94150483809237,14.597692044022436,0.5532163742690058,OK,"Samples: real(455), syn(455)"
breast_cancer,STaSy,4,18.835863756014827,16.226439909282682,0.48350877192982455,OK,"Samples: real(455), syn(455)"
pima,TabSyn,0,0.45867522629791735,1.0934224817718554,0.5206493506493507,OK,"Samples: real(500), syn(614)"
pima,TabSyn,1,0.40139676173768085,0.9163183787254795,0.518961038961039,OK,"Samples: real(500), syn(614)"
pima,TabSyn,2,0.3962137626105658,0.8449680952892192,0.5144155844155844,OK,"Samples: real(500), syn(614)"
pima,TabSyn,3,0.4560546914743529,1.0328336401909866,0.4937662337662338,OK,"Samples: real(500), syn(614)"
pima,TabSyn,4,0.44490591659344686,1.050479075797767,0.4735497835497836,OK,"Samples: real(500), syn(614)"
pima,STaSy,0,4.82271200497781,11.496722358248068,0.438051948051948,OK,"Samples: real(500), syn(614)"
pima,STaSy,1,4.877713792609158,11.1349647540292,0.46705627705627706,OK,"Samples: real(500), syn(614)"
pima,STaSy,2,4.215679848141228,8.99038677546949,0.5254545454545454,OK,"Samples: real(500), syn(614)"
pima,STaSy,3,4.731016825779657,10.71440206914219,0.5021645021645021,OK,"Samples: real(500), syn(614)"
pima,STaSy,4,4.416901547696043,10.4288625587179,0.48610389610389604,OK,"Samples: real(500), syn(614)"
heart,TabSyn,0,0.6823183489808106,0.8182517301736708,0.3940329218106996,OK,"Samples: real(216), syn(216)"
heart,TabSyn,1,0.7127567038521824,0.9887541946005661,0.4751371742112483,OK,"Samples: real(216), syn(216)"
heart,TabSyn,2,0.365000225348763,0.5103675395970922,0.3962620027434843,OK,"Samples: real(216), syn(216)"
heart,TabSyn,3,0.8071743241632485,0.959427033062608,0.4591906721536351,OK,"Samples: real(216), syn(216)"
heart,TabSyn,4,0.8862858961988435,1.058746980711057,0.5180041152263375,OK,"Samples: real(216), syn(216)"
heart,STaSy,0,3.1425352207106174,3.7685999289321157,0.503772290809328,OK,"Samples: real(216), syn(216)"
heart,STaSy,1,3.5682879987852028,4.9500197013558065,0.47205075445816186,OK,"Samples: real(216), syn(216)"
heart,STaSy,2,3.0146802981970584,4.215326072723685,0.5138888888888888,OK,"Samples: real(216), syn(216)"
heart,STaSy,3,3.509548622727294,4.1715348490336925,0.5485253772290809,OK,"Samples: real(216), syn(216)"
heart,STaSy,4,3.4680893404251525,4.142939805044054,0.5512688614540467,OK,"Samples: real(216), syn(216)"
credit,TabSyn,0,0.33018458879849105,0.9920578944074814,0.5011666666666668,OK,"Samples: real(500), syn(800)"
credit,TabSyn,1,0.29417281273463985,1.1651612842300187,0.5320333333333334,OK,"Samples: real(500), syn(800)"
credit,TabSyn,2,0.3214639061669124,0.9092748909020958,0.5372,OK,"Samples: real(500), syn(800)"
credit,TabSyn,3,0.29691041408754026,0.9478292434503451,0.4481,OK,"Samples: real(500), syn(800)"
credit,TabSyn,4,0.27070943027232375,1.0670959538346285,0.5090333333333334,OK,"Samples: real(500), syn(800)"
credit,STaSy,0,1.4981148963961795,4.50116922509155,0.5155333333333333,OK,"Samples: real(500), syn(800)"
credit,STaSy,1,1.4972809797807514,5.930438686828015,0.5123333333333333,OK,"Samples: real(500), syn(800)"
credit,STaSy,2,2.112463418244107,5.9751963044997165,0.5181333333333333,OK,"Samples: real(500), syn(800)"
credit,STaSy,3,2.0999095337512292,6.703556258901594,0.5495333333333334,OK,"Samples: real(500), syn(800)"
credit,STaSy,4,1.5196640308260707,5.990287581970176,0.4761666666666667,OK,"Samples: real(500), syn(800)"
